backend,metric,n_chunks,chunk_size_kb,value,unit,supported,source,trial,hostname,cpu_model
flat,commit_time,54608,64,1283091744,ns,true,synthetic,1,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1283782146,ns,true,synthetic,1,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1277688347,ns,true,synthetic,1,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1275956791,ns,true,synthetic,1,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276156278,ns,true,synthetic,2,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276420736,ns,true,synthetic,2,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276311400,ns,true,synthetic,2,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1277109124,ns,true,synthetic,2,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1274647723,ns,true,synthetic,3,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1274434782,ns,true,synthetic,3,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1274857829,ns,true,synthetic,3,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1275737949,ns,true,synthetic,3,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276105973,ns,true,synthetic,4,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1275567036,ns,true,synthetic,4,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1277241543,ns,true,synthetic,4,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1276846760,ns,true,synthetic,4,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276546743,ns,true,synthetic,5,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276519151,ns,true,synthetic,5,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1278083892,ns,true,synthetic,5,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1276242219,ns,true,synthetic,5,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276199579,ns,true,synthetic,6,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1281978525,ns,true,synthetic,6,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1277737900,ns,true,synthetic,6,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1274925797,ns,true,synthetic,6,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1275392597,ns,true,synthetic,7,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1275722038,ns,true,synthetic,7,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276098368,ns,true,synthetic,7,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1279031368,ns,true,synthetic,7,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276568064,ns,true,synthetic,8,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276160776,ns,true,synthetic,8,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276241478,ns,true,synthetic,8,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1275907007,ns,true,synthetic,8,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276324265,ns,true,synthetic,9,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276359019,ns,true,synthetic,9,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276384408,ns,true,synthetic,9,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1277308841,ns,true,synthetic,9,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1275766502,ns,true,synthetic,10,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1277337294,ns,true,synthetic,10,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1275940420,ns,true,synthetic,10,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1285994548,ns,true,synthetic,10,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1281604771,ns,true,synthetic,11,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1277765692,ns,true,synthetic,11,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1275511321,ns,true,synthetic,11,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1278610094,ns,true,synthetic,11,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276087137,ns,true,synthetic,12,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276412641,ns,true,synthetic,12,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276657241,ns,true,synthetic,12,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1278502040,ns,true,synthetic,12,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276699882,ns,true,synthetic,13,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276428550,ns,true,synthetic,13,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276990120,ns,true,synthetic,13,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1276370532,ns,true,synthetic,13,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276166236,ns,true,synthetic,14,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1275852484,ns,true,synthetic,14,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276390649,ns,true,synthetic,14,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1276935877,ns,true,synthetic,14,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276205590,ns,true,synthetic,15,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1277227518,ns,true,synthetic,15,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276362727,ns,true,synthetic,15,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1276096905,ns,true,synthetic,15,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276607889,ns,true,synthetic,16,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276636292,ns,true,synthetic,16,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1278709762,ns,true,synthetic,16,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1277429428,ns,true,synthetic,16,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1276825149,ns,true,synthetic,17,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1283532426,ns,true,synthetic,17,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1276463567,ns,true,synthetic,17,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1275894834,ns,true,synthetic,17,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1275959056,ns,true,synthetic,18,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1276860746,ns,true,synthetic,18,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1277056374,ns,true,synthetic,18,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1283482251,ns,true,synthetic,18,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1283348078,ns,true,synthetic,19,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1284078705,ns,true,synthetic,19,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,append_time,54608,64,1284795346,ns,true,synthetic,19,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,update_time,54608,64,1280603472,ns,true,synthetic,19,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,commit_time,54608,64,1288063679,ns,true,synthetic,20,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
flat,verify_dataset_latency,54608,64,1283148991,ns,true,synthetic,20,localhost.localdomain,AMD Ryzen 9 9950X3D 16-Core Processor
