approach,storage_class,trial,wall_ms,throughput_mbps
flat_hash,hdd,0,22671.2,176.4
grid_tree_interleaved,hdd,0,22795.6,175.5
grid_tree_parallel,hdd,0,22614.6,176.9
flat_hash,hdd,1,22621.0,176.8
grid_tree_interleaved,hdd,1,22611.7,176.9
grid_tree_parallel,hdd,1,22622.7,176.8
flat_hash,hdd,2,22604.8,177.0
grid_tree_interleaved,hdd,2,22620.7,176.8
grid_tree_parallel,hdd,2,22598.3,177.0
flat_hash,hdd,3,22650.3,176.6
grid_tree_interleaved,hdd,3,22680.9,176.4
grid_tree_parallel,hdd,3,22675.9,176.4
flat_hash,hdd,4,22644.0,176.6
grid_tree_interleaved,hdd,4,22639.4,176.7
grid_tree_parallel,hdd,4,22614.6,176.9
read_only,nvme,0,400.6,9985.4
flat_hash,nvme,0,676.2,5915.2
grid_tree_interleaved,nvme,0,3520.0,1136.3
grid_tree_parallel,nvme,0,480.7,8321.1
read_only,nvme,1,334.9,11944.7
flat_hash,nvme,1,626.5,6384.2
grid_tree_interleaved,nvme,1,3478.3,1150.0
grid_tree_parallel,nvme,1,465.7,8589.4
read_only,nvme,2,337.1,11865.6
flat_hash,nvme,2,629.1,6358.6
grid_tree_interleaved,nvme,2,3484.3,1148.0
grid_tree_parallel,nvme,2,441.6,9057.1
read_only,nvme,3,324.9,12311.7
flat_hash,nvme,3,630.9,6340.0
grid_tree_interleaved,nvme,3,3532.4,1132.4
grid_tree_parallel,nvme,3,447.2,8944.9
read_only,nvme,4,314.5,12718.5
flat_hash,nvme,4,621.6,6435.4
grid_tree_interleaved,nvme,4,3350.8,1193.7
grid_tree_parallel,nvme,4,435.8,9179.1
read_only,nvme,5,318.7,12551.9
flat_hash,nvme,5,618.2,6470.2
grid_tree_interleaved,nvme,5,3357.2,1191.5
grid_tree_parallel,nvme,5,432.4,9251.4
read_only,nvme,6,319.0,12538.4
flat_hash,nvme,6,618.2,6470.4
grid_tree_interleaved,nvme,6,3346.7,1195.2
grid_tree_parallel,nvme,6,423.9,9436.9
