target_kib,leaf_shape,leaf_bytes,run_len_bytes,storage_class,selection,useful_bytes,bytes_transferred,io_ops,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,trials
256,1x63x1000,252000,252000,nvme,cube10,4000,2560000,10,1.132,1.127,1.147,3152,30
256,1x63x1000,252000,252000,nvme,cube100,4000000,182288384,300,41.665,41.469,41.999,48352,30
256,1x63x1000,252000,252000,nvme,plane,4000000,5799936,16,0.748,0.742,0.757,2352,30
512,1x125x1000,500000,500000,nvme,cube10,4000,5042176,10,1.533,1.531,1.545,2752,30
512,1x125x1000,500000,500000,nvme,cube100,4000000,155267072,200,53.718,53.289,54.099,32352,30
512,1x125x1000,500000,500000,nvme,plane,4000000,4751360,8,0.750,0.742,0.756,1392,30
1024,1x250x1000,1000000,1000000,nvme,cube10,4000,10039296,10,2.373,2.362,2.389,2352,30
1024,1x250x1000,1000000,1000000,nvme,cube100,4000000,100405248,100,39.058,38.681,39.283,20352,30
1024,1x250x1000,1000000,1000000,nvme,plane,4000000,5013504,4,0.804,0.792,0.811,912,30
2048,1x500x1000,2000000,2000000,nvme,cube10,4000,31035392,10,4.608,4.580,4.691,1952,30
2048,1x500x1000,2000000,2000000,nvme,cube100,4000000,311255040,100,68.521,67.968,69.074,16352,30
2048,1x500x1000,2000000,2000000,nvme,plane,4000000,5799936,2,0.690,0.683,0.724,672,30
4096,1x1000x1000,4000000,4000000,nvme,cube10,4000,41451520,10,4.679,4.651,4.736,1552,30
4096,1x1000x1000,4000000,4000000,nvme,cube100,4000000,401113088,100,62.188,61.927,62.335,12352,30
4096,1x1000x1000,4000000,4000000,nvme,plane,4000000,5799936,1,0.691,0.686,0.698,552,30
256,1x63x1000,252000,252000,hdd,cube10,4000,2560000,10,6.156,6.141,6.173,3152,30
256,1x63x1000,252000,252000,hdd,cube100,4000000,182288384,300,1490.728,1487.844,1501.640,48352,30
256,1x63x1000,252000,252000,hdd,plane,4000000,5275648,16,13.098,12.719,16.229,2352,30
512,1x125x1000,500000,500000,hdd,cube10,4000,5042176,10,10.853,10.837,10.872,2752,30
512,1x125x1000,500000,500000,hdd,cube100,4000000,155267072,200,1494.343,1493.417,1499.795,32352,30
512,1x125x1000,500000,500000,hdd,plane,4000000,4751360,8,9.218,9.181,9.607,1392,30
1024,1x250x1000,1000000,1000000,hdd,cube10,4000,10039296,10,20.502,20.444,20.576,2352,30
1024,1x250x1000,1000000,1000000,hdd,cube100,4000000,100405248,100,1491.860,1491.287,1492.159,20352,30
1024,1x250x1000,1000000,1000000,hdd,plane,4000000,4554752,4,9.067,8.624,9.816,912,30
2048,1x500x1000,2000000,2000000,hdd,cube10,4000,20041728,10,39.070,38.981,39.150,1952,30
2048,1x500x1000,2000000,2000000,hdd,cube100,4000000,200400896,100,1519.465,1512.480,1527.001,16352,30
2048,1x500x1000,2000000,2000000,hdd,plane,4000000,4999168,2,15.777,8.676,18.395,672,30
4096,1x1000x1000,4000000,4000000,hdd,cube10,4000,41672704,10,251.893,235.913,252.313,1552,30
4096,1x1000x1000,4000000,4000000,hdd,cube100,4000000,405307392,100,2359.285,2358.349,2367.176,12352,30
4096,1x1000x1000,4000000,4000000,hdd,plane,4000000,4001792,1,7.583,7.530,8.466,552,30
