leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,bytes_transferred,bytes_source,bytes_ci95_low,bytes_ci95_high,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,hdd,512,default logical block size,,,,0,178,,1,cube10,4000,10039296,proc_self_io,10039296,10039296,10039296,,10000000,10,,20.669,20.663,20.743,2352,1.157,1.105,1.278,10004480,30
1x250x1000,1000000,1,1000000,hdd,512,default logical block size,,,,0,179,,1,cube100,4000000,100405248,proc_self_io,100405248,100405248,100405248,,100000000,100,,1413.723,1413.096,1414.742,20352,13.245,13.168,13.286,100044800,30
1x250x1000,1000000,1,1000000,hdd,512,default logical block size,,,,0,178,,1,plane,4000000,4554752,proc_self_io,4096000,5013504,5013504,,4000000,4,,9.648,9.189,21.782,912,0.437,0.434,0.442,4001792,30
4x64x1000,1024000,4,256000,hdd,512,default logical block size,,,,0,178,,1,cube10,4000,3121152,proc_self_io,3121152,3121152,3121152,,3072000,12,,7.572,7.549,7.609,1152,0.335,0.332,0.338,3072000,30
4x64x1000,1024000,4,256000,hdd,512,default logical block size,,,,0,178,,1,cube100,4000000,103329792,proc_self_io,103329792,103329792,103329792,,76800000,300,,2082.203,2069.252,2090.930,12352,10.380,10.245,10.539,76800000,30
4x64x1000,1024000,4,256000,hdd,512,default logical block size,,,,0,176,,1,plane,4000000,17334272,proc_self_io,17334272,17334272,17334272,,16000000,64,,39.255,36.874,43.647,2272,1.948,1.932,2.041,16384000,30
16x16x1000,1024000,16,64000,hdd,512,default logical block size,,,,0,179,,1,cube10,4000,1085440,proc_self_io,1085440,1085440,1085440,,1024000,16,,4.704,4.693,4.710,632,0.112,0.110,0.113,1024000,30
16x16x1000,1024000,16,64000,hdd,512,default logical block size,,,,0,178,,1,cube100,4000000,106258432,proc_self_io,106258432,106258432,105373696,,50176000,784,,2538.774,2522.105,2556.706,8152,6.959,6.788,7.086,50176000,30
16x16x1000,1024000,16,64000,hdd,512,default logical block size,,,,0,179,,1,plane,4000000,65839104,proc_self_io,65839104,65839104,65839104,,64000000,1008,,417.025,373.157,430.540,8112,8.444,8.401,8.469,64512000,30
64x64x64,1048576,4096,256,hdd,512,default logical block size,,,,0,178,,1,cube10,4000,41172992,proc_self_io,40517632,41172992,41172992,,1048576,4096,,301.415,272.738,353.390,632,0.148,0.143,0.178,2097152,30
64x64x64,1048576,4096,256,hdd,512,default logical block size,,,,0,178,,1,cube100,4000000,313458688,proc_self_io,311580672,315555840,315899904,,28311552,110592,,3635.578,3552.837,3685.846,4832,3.688,3.675,3.714,56623104,30
