leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,bytes_transferred,bytes_source,bytes_ci95_low,bytes_ci95_high,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,174,,1,cube10,4000,10039296,proc_self_io,NaN,NaN,10039296,,10039296,10,,162.483,NaN,NaN,2352,1.359,NaN,NaN,10035200,1
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,175,,1,cube100,4000000,100405248,proc_self_io,NaN,NaN,100405248,,100405248,100,,1425.024,NaN,NaN,20352,13.563,NaN,NaN,100352000,1
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,180,,1,plane,4000000,4014080,proc_self_io,NaN,NaN,4014080,,4014080,4,,39.963,NaN,NaN,912,0.596,NaN,NaN,4014080,1
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube10,4000,3121152,proc_self_io,NaN,NaN,3121152,,3121152,12,,87.409,NaN,NaN,1152,0.452,NaN,NaN,3096576,1
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube100,4000000,77955072,proc_self_io,NaN,NaN,77955072,,77955072,300,,1802.314,NaN,NaN,12352,10.114,NaN,NaN,77414400,1
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,plane,4000000,16261120,proc_self_io,NaN,NaN,16261120,,16261120,64,,244.423,NaN,NaN,2272,2.078,NaN,NaN,16515072,1
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube10,4000,1085440,proc_self_io,NaN,NaN,1085440,,1085440,16,,94.933,NaN,NaN,632,0.142,NaN,NaN,1048576,1
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube100,4000000,53186560,proc_self_io,NaN,NaN,53186560,,53186560,784,,1993.082,NaN,NaN,8152,7.115,NaN,NaN,51380224,1
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,plane,4000000,67870720,proc_self_io,NaN,NaN,67870720,,67870720,1008,,860.771,NaN,NaN,8112,8.801,NaN,NaN,66060288,1
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube10,4000,17694720,proc_self_io,NaN,NaN,17694720,,17694720,4096,,377.199,NaN,NaN,632,0.139,NaN,NaN,16777216,1
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube100,4000000,477757440,proc_self_io,NaN,NaN,477757440,,477757440,110592,,12299.442,NaN,NaN,4832,3.673,NaN,NaN,452984832,1
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,177,,1,plane,4000000,4417536000,proc_self_io,NaN,NaN,4417536000,,4417536000,1024000,,109329.655,NaN,NaN,30912,34.216,NaN,NaN,4294967296,1
