leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,bytes_transferred,bytes_source,bytes_ci95_low,bytes_ci95_high,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube10,4000,10039296,proc_self_io,10039296,10039296,10039296,,10039296,10,,20.150,20.110,20.207,2352,1.228,1.123,1.458,10035200,30
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube100,4000000,100405248,proc_self_io,100405248,100405248,100405248,,100405248,100,,1417.258,1416.600,1417.578,20352,13.337,13.237,13.500,100352000,30
1x250x1000,1000000,1,1000000,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,plane,4000000,4014080,proc_self_io,4014080,4014080,4014080,,4014080,4,,8.057,8.018,8.078,912,0.530,0.438,0.624,4014080,30
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube10,4000,3121152,proc_self_io,3121152,3121152,3121152,,3121152,12,,7.522,7.509,7.535,1152,0.332,0.330,0.333,3096576,30
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube100,4000000,77955072,proc_self_io,77955072,77955072,77955072,,77955072,300,,2004.060,1995.422,2012.178,12352,10.498,10.273,10.595,77414400,30
4x64x1000,1024000,4,256000,hdd,4096,O_DIRECT alignment unit,,,,1,171,,1,plane,4000000,16261120,proc_self_io,16261120,16261120,16261120,,16261120,64,,40.494,40.456,40.523,2272,1.897,1.839,1.983,16515072,30
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,cube10,4000,1085440,proc_self_io,1085440,1085440,1085440,,1085440,16,,4.695,4.679,4.704,632,0.110,0.110,0.113,1048576,30
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube100,4000000,53186560,proc_self_io,53186560,53186560,53186560,,53186560,784,,4545.474,4532.962,4573.219,8152,7.008,6.833,7.099,51380224,30
16x16x1000,1024000,16,64000,hdd,4096,O_DIRECT alignment unit,,,,1,167,,1,plane,4000000,67870720,proc_self_io,67870720,67870720,67870720,,67870720,1008,,734.083,717.394,752.003,8112,8.649,8.552,8.828,66060288,30
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube10,4000,17694720,proc_self_io,17694720,17694720,17694720,,17694720,4096,,417.868,408.152,430.821,632,0.148,0.146,0.149,16777216,30
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,178,,1,cube100,4000000,477757440,proc_self_io,477757440,477757440,477757440,,477757440,110592,,12177.791,12139.011,12229.285,4832,3.749,3.715,3.927,452984832,30
64x64x64,1048576,4096,256,hdd,4096,O_DIRECT alignment unit,,,,1,179,,1,plane,4000000,4417536000,proc_self_io,4417536000,4417536000,4417536000,,4417536000,1024000,,109083.328,108973.794,109147.126,30912,33.653,33.414,33.814,4294967296,30
