leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,bytes_transferred,bytes_source,bytes_ci95_low,bytes_ci95_high,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,nvme,512,default logical block size,,,,0,6110,,1,cube10,4000,10039296,proc_self_io,10039296,10039296,10039296,,10000000,10,,2.436,2.420,2.466,2352,0.833,0.832,0.839,10004480,30
1x250x1000,1000000,1,1000000,nvme,512,default logical block size,,,,0,10058,,1,cube100,4000000,100405248,proc_self_io,100405248,100405248,100405248,,100000000,100,,40.546,40.415,40.635,20352,10.789,10.756,10.829,100044800,30
1x250x1000,1000000,1,1000000,nvme,512,default logical block size,,,,0,10215,,1,plane,4000000,5013504,proc_self_io,5013504,5013504,5013504,,4000000,4,,0.787,0.779,0.800,912,0.334,0.333,0.336,4001792,30
4x64x1000,1024000,4,256000,nvme,512,default logical block size,,,,0,9684,,1,cube10,4000,3121152,proc_self_io,3121152,3121152,3121152,,3072000,12,,1.339,1.322,1.370,1152,0.255,0.255,0.256,3072000,30
4x64x1000,1024000,4,256000,nvme,512,default logical block size,,,,0,10221,,1,cube100,4000000,103329792,proc_self_io,103329792,103329792,103329792,,76800000,300,,44.620,43.943,45.628,12352,8.322,8.292,8.408,76800000,30
4x64x1000,1024000,4,256000,nvme,512,default logical block size,,,,0,10252,,1,plane,4000000,17334272,proc_self_io,17334272,17334272,17334272,,16000000,64,,2.937,2.920,2.981,2272,1.339,1.331,1.351,16384000,30
16x16x1000,1024000,16,64000,nvme,512,default logical block size,,,,0,9977,,1,cube10,4000,1085440,proc_self_io,1085440,1085440,1085440,,1024000,16,,0.285,0.284,0.290,632,0.085,0.085,0.085,1024000,30
16x16x1000,1024000,16,64000,nvme,512,default logical block size,,,,0,10119,,1,cube100,4000000,106258432,proc_self_io,106258432,106258432,106258432,,50176000,784,,41.431,41.225,41.803,8152,5.315,5.287,5.404,50176000,30
16x16x1000,1024000,16,64000,nvme,512,default logical block size,,,,0,9937,,1,plane,4000000,65839104,proc_self_io,65839104,65839104,65839104,,64000000,1008,,17.743,17.604,18.221,8112,6.809,6.780,6.867,64512000,30
64x64x64,1048576,4096,256,nvme,512,default logical block size,,,,0,9909,,1,cube10,4000,41172992,proc_self_io,41172992,41172992,41172992,,1048576,4096,,13.053,13.008,13.107,632,0.092,0.090,0.093,2097152,30
64x64x64,1048576,4096,256,nvme,512,default logical block size,,,,0,10304,,1,cube100,4000000,316350464,proc_self_io,316350464,316350464,316350464,,28311552,110592,,79.136,78.871,79.313,4832,2.949,2.938,2.958,56623104,30
64x64x64,1048576,4096,256,nvme,512,default logical block size,,,,0,10160,,1,plane,4000000,257802240,proc_self_io,257802240,257802240,257802240,,256000000,1024000,,283.996,283.004,285.009,30912,27.264,27.205,27.309,536870912,30
