leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,block_size_source,stripe_count,stripe_size_bytes,readahead_bytes,o_direct,seq_read_mbps,seq_write_mbps,cache_dropped,selection,useful_bytes,bytes_transferred,bytes_source,bytes_ci95_low,bytes_ci95_high,proc_read_bytes_delta,llite_read_bytes_delta,issued_bytes,io_ops,osc_read_rpcs,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,nvme,4096,O_DIRECT alignment unit,,,,1,8967,,1,cube10,4000,10039296,proc_self_io,10039296,10039296,10039296,,10039296,10,,1.918,1.914,1.924,2352,0.816,0.816,0.817,10035200,30
1x250x1000,1000000,1,1000000,nvme,4096,O_DIRECT alignment unit,,,,1,9215,,1,cube100,4000000,100405248,proc_self_io,100405248,100405248,100405248,,100405248,100,,29.561,29.365,29.823,20352,10.848,10.815,10.904,100352000,30
1x250x1000,1000000,1,1000000,nvme,4096,O_DIRECT alignment unit,,,,1,9136,,1,plane,4000000,4014080,proc_self_io,4014080,4014080,4014080,,4014080,4,,0.766,0.759,0.776,912,0.331,0.330,0.332,4014080,30
4x64x1000,1024000,4,256000,nvme,4096,O_DIRECT alignment unit,,,,1,8828,,1,cube10,4000,3121152,proc_self_io,3121152,3121152,3121152,,3121152,12,,1.132,1.129,1.137,1152,0.251,0.251,0.252,3096576,30
4x64x1000,1024000,4,256000,nvme,4096,O_DIRECT alignment unit,,,,1,8991,,1,cube100,4000000,77955072,proc_self_io,77955072,77955072,77955072,,77955072,300,,37.082,36.613,37.329,12352,8.229,7.548,8.259,77414400,30
4x64x1000,1024000,4,256000,nvme,4096,O_DIRECT alignment unit,,,,1,8949,,1,plane,4000000,16261120,proc_self_io,16261120,16261120,16261120,,16261120,64,,6.222,6.214,6.265,2272,1.337,1.325,1.360,16515072,30
16x16x1000,1024000,16,64000,nvme,4096,O_DIRECT alignment unit,,,,1,9063,,1,cube10,4000,1085440,proc_self_io,1085440,1085440,1085440,,1085440,16,,0.233,0.232,0.235,632,0.083,0.083,0.083,1048576,30
16x16x1000,1024000,16,64000,nvme,4096,O_DIRECT alignment unit,,,,1,9287,,1,cube100,4000000,53186560,proc_self_io,53186560,53186560,53186560,,53186560,784,,59.281,59.123,59.554,8152,6.518,6.478,6.545,51380224,30
16x16x1000,1024000,16,64000,nvme,4096,O_DIRECT alignment unit,,,,1,9049,,1,plane,4000000,67870720,proc_self_io,67870720,67870720,67870720,,67870720,1008,,75.765,75.628,76.038,8112,8.308,8.270,8.351,66060288,30
64x64x64,1048576,4096,256,nvme,4096,O_DIRECT alignment unit,,,,1,8710,,1,cube10,4000,17694720,proc_self_io,17694720,17694720,17694720,,17694720,4096,,58.603,58.495,58.732,632,0.118,0.115,0.119,16777216,30
64x64x64,1048576,4096,256,nvme,4096,O_DIRECT alignment unit,,,,1,8581,,1,cube100,4000000,477757440,proc_self_io,477757440,477757440,477757440,,477757440,110592,,1580.360,1579.727,1581.330,4832,3.650,3.640,3.719,452984832,30
64x64x64,1048576,4096,256,nvme,4096,O_DIRECT alignment unit,,,,1,8827,,1,plane,4000000,4417536000,proc_self_io,4417536000,4417536000,4417536000,,4417536000,1024000,,14562.537,14491.542,14674.849,30912,33.676,33.565,33.839,4294967296,30
