leaf_shape,leaf_bytes,runs_per_leaf,run_len_bytes,storage_class,block_size_bytes,seq_read_mbps,selection,useful_bytes,bytes_transferred,bytes_ci95_low,bytes_ci95_high,io_ops,read_ms,read_ci95_low,read_ci95_high,proof_size_bytes,verify_ms,verify_ci95_low,verify_ci95_high,model_bytes_predicted,trials
1x250x1000,1000000,1,1000000,nvme,512,12574,cube10,4000,10039296,10039296,10039296,10,2.452,2.431,2.463,2352,0.831,0.830,0.836,10004480,30
1x250x1000,1000000,1,1000000,nvme,512,12574,cube100,4000000,100405248,100405248,100405248,100,40.539,40.200,40.847,20352,10.753,10.698,10.778,100044800,30
1x250x1000,1000000,1,1000000,nvme,512,12574,plane,4000000,5013504,5013504,5013504,4,0.782,0.773,0.785,912,0.333,0.332,0.334,4001792,30
4x64x1000,1024000,4,256000,nvme,512,12574,cube10,4000,3121152,3121152,3121152,12,1.327,1.267,1.334,1152,0.255,0.253,0.256,3072000,30
4x64x1000,1024000,4,256000,nvme,512,12574,cube100,4000000,103329792,103329792,103329792,300,45.898,45.686,46.073,12352,8.192,8.153,8.219,76800000,30
4x64x1000,1024000,4,256000,nvme,512,12574,plane,4000000,17334272,17334272,17334272,64,2.869,2.848,2.881,2272,1.330,1.326,1.333,16384000,30
16x16x1000,1024000,16,64000,nvme,512,12574,cube10,4000,1085440,1085440,1085440,16,0.280,0.275,0.281,632,0.084,0.084,0.084,1024000,30
16x16x1000,1024000,16,64000,nvme,512,12574,cube100,4000000,106258432,106258432,106258432,784,42.188,41.662,42.962,8152,5.358,5.286,5.502,50176000,30
16x16x1000,1024000,16,64000,nvme,512,12574,plane,4000000,65839104,65839104,65839104,1008,17.926,17.809,18.399,8112,6.754,6.717,6.831,64512000,30
64x64x64,1048576,4096,256,nvme,512,12574,cube10,4000,41172992,41172992,41172992,4096,13.138,13.114,13.164,632,0.088,0.087,0.089,2097152,30
64x64x64,1048576,4096,256,nvme,512,12574,cube100,4000000,316350464,316350464,316350464,110592,79.749,79.493,80.373,4832,3.009,3.001,3.025,56623104,30
64x64x64,1048576,4096,256,nvme,512,12574,plane,4000000,257802240,257802240,257802240,1024000,283.945,283.183,284.677,30912,26.932,26.896,26.977,536870912,30
1x250x1000,1000000,1,1000000,hdd,512,173,cube10,4000,10039296,10039296,10039296,10,20.789,20.723,20.910,2352,1.225,1.148,1.333,10004480,30
1x250x1000,1000000,1,1000000,hdd,512,173,cube100,4000000,100405248,100405248,100405248,100,1395.864,1395.235,1396.457,20352,13.066,13.019,13.161,100044800,30
1x250x1000,1000000,1,1000000,hdd,512,173,plane,4000000,4554752,4096000,5013504,4,9.605,8.710,10.733,912,0.436,0.432,0.516,4001792,30
4x64x1000,1024000,4,256000,hdd,512,173,cube10,4000,3121152,3121152,3121152,12,7.543,7.530,7.586,1152,0.330,0.328,0.332,3072000,30
4x64x1000,1024000,4,256000,hdd,512,173,cube100,4000000,103329792,103329792,103329792,300,2074.074,2057.248,2090.134,12352,10.421,10.233,10.585,76800000,30
4x64x1000,1024000,4,256000,hdd,512,173,plane,4000000,17334272,17334272,17334272,64,38.744,36.915,42.249,2272,1.973,1.826,2.106,16384000,30
16x16x1000,1024000,16,64000,hdd,512,173,cube10,4000,1085440,1085440,1085440,16,4.702,4.693,4.712,632,0.109,0.109,0.110,1024000,30
16x16x1000,1024000,16,64000,hdd,512,173,cube100,4000000,106258432,106258432,106258432,784,2522.607,2482.977,2545.043,8152,6.945,6.797,7.025,50176000,30
16x16x1000,1024000,16,64000,hdd,512,173,plane,4000000,65839104,65839104,65839104,1008,451.448,438.373,481.793,8112,8.406,8.379,8.517,64512000,30
64x64x64,1048576,4096,256,hdd,512,173,cube10,4000,40845312,40517632,41172992,4096,503.224,499.367,507.160,632,0.199,0.146,0.253,2097152,30
64x64x64,1048576,4096,256,hdd,512,173,cube100,4000000,315555840,314642432,315564032,110592,3734.883,3705.948,3765.078,4832,3.680,3.661,3.695,56623104,30
64x64x64,1048576,4096,256,hdd,512,173,plane,4000000,257802240,257802240,257802240,1024000,3128.370,3095.587,3147.897,30912,33.189,33.058,33.324,536870912,30
