# hostname=localhost.localdomain cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-18T14:47:31Z
alg,chunk_size_kb,trial,throughput_mbs
sha256,64,0,2699.6210248805405
sha256,64,1,2733.514077163712
sha256,64,2,2733.514077163712
sha256,64,3,2735.79628470048
sha256,64,4,2734.654704777801
sha256,64,5,2734.654704777801
sha256,64,6,2732.3744006670836
sha256,64,7,2692.965154503616
sha256,64,8,2604.044979536695
sha256,64,9,2715.3925833851254
sha256,64,10,2734.654704777801
sha256,64,11,2733.4000667334
sha256,64,12,2734.654704777801
sha256,64,13,2734.654704777801
sha256,64,14,2731.2356740987707
sha256,64,15,2734.540599182175
sha256,64,16,2734.654704777801
sha256,64,17,2733.514077163712
sha256,64,18,2733.514077163712
sha256,64,19,2734.540599182175
sha256,64,20,2734.654704777801
sha256,64,21,2733.514077163712
sha256,64,22,2732.3744006670836
sha256,64,23,2739.226750261233
sha256,64,24,2737.9679144385027
sha256,64,25,2718.772038996059
sha256,64,26,2734.654704777801
sha256,64,27,2734.540599182175
sha256,64,28,2736.9388181248696
sha256,64,29,2734.654704777801
sha256,256,0,2738.082306246083
sha256,256,1,2739.7706963765013
sha256,256,2,2727.796797119697
sha256,256,3,2708.3230019009834
sha256,256,4,2739.799331103679
sha256,256,5,2739.19812750128
sha256,256,6,2738.6544086920185
sha256,256,7,2739.4843820212977
sha256,256,8,2736.367432150313
sha256,256,9,2737.7677517728275
sha256,256,10,2736.910243158873
sha256,256,11,2737.2246006056175
sha256,256,12,2736.624526312493
sha256,256,13,2686.0667663995737
sha256,256,14,2736.053271545021
sha256,256,15,2736.9388181248696
sha256,256,16,2736.910243158873
sha256,256,17,2736.910243158873
sha256,256,18,2736.9388181248696
sha256,256,19,2737.1960196719256
sha256,256,20,2737.1960196719256
sha256,256,21,2736.081828619142
sha256,256,22,2736.053271545021
sha256,256,23,2704.1044737629327
sha256,256,24,2734.911477188553
sha256,256,25,2736.653095312663
sha256,256,26,2734.0557566149705
sha256,256,27,2733.7706354089537
sha256,256,28,2734.340937301165
sha256,256,29,2732.630745014646
sha256,1024,0,2732.210650289356
sha256,1024,1,2723.4608431857378
sha256,1024,2,2731.4206525759714
sha256,1024,3,2733.635223667368
sha256,1024,4,2721.1920993831372
sha256,1024,5,2733.207695696259
sha256,1024,6,2721.6158763694693
sha256,1024,7,2732.7090820483018
sha256,1024,8,2732.417121385054
sha256,1024,9,2711.327277569627
sha256,1024,10,2732.7731793257303
sha256,1024,11,2723.2486508105526
sha256,1024,12,2733.4143175170875
sha256,1024,13,2733.207695696259
sha256,1024,14,2724.947116209207
sha256,1024,15,2732.7019603141925
sha256,1024,16,2733.2789410712844
sha256,1024,17,2721.827814363253
sha256,1024,18,2733.849037812245
sha256,1024,19,2722.534512796413
sha256,1024,20,2733.4926994835805
sha256,1024,21,2732.9868586351954
sha256,1024,22,2724.3878041492912
sha256,1024,23,2732.9156284859414
sha256,1024,24,2724.239164887011
sha256,1024,25,2732.2747241866305
sha256,1024,26,2735.2039711709267
sha256,1024,27,2722.6829660942135
sha256,1024,28,2734.704628970381
sha256,1024,29,2732.9868586351954
blake3,64,0,6654.752233956133
blake3,64,1,6667.616237664055
blake3,64,2,6688.029390754158
blake3,64,3,6654.752233956133
blake3,64,4,6688.029390754158
blake3,64,5,6668.294668294669
blake3,64,6,6708.567918927219
blake3,64,7,6661.516568408213
blake3,64,8,6688.029390754158
blake3,64,9,6668.294668294669
blake3,64,10,6675.086575677327
blake3,64,11,6694.86157932373
blake3,64,12,6695.545565999183
blake3,64,13,6694.86157932373
blake3,64,14,6681.89233278956
blake3,64,15,6688.029390754158
blake3,64,16,6661.516568408213
blake3,64,17,6688.029390754158
blake3,64,18,6668.294668294669
blake3,64,19,6674.40676239943
blake3,64,20,6660.839516210997
blake3,64,21,6675.086575677327
blake3,64,22,6701.70774107782
blake3,64,23,6695.545565999183
blake3,64,24,6681.211132633296
blake3,64,25,6668.294668294669
blake3,64,26,6681.211132633296
blake3,64,27,6661.516568408213
blake3,64,28,6695.545565999183
blake3,64,29,6688.029390754158
blake3,256,0,10632.05710577547
blake3,256,1,10653.228756045028
blake3,256,2,10645.009339722244
blake3,256,3,10601.528693331176
blake3,256,4,10627.746695856646
blake3,256,5,10636.371013551894
blake3,256,6,10618.70620164459
blake3,256,7,10645.009339722244
blake3,256,8,10657.55986502419
blake3,256,9,10653.661708526375
blake3,256,10,10075.098966140129
blake3,256,11,10618.70620164459
blake3,256,12,10619.136352588512
blake3,256,13,10635.939465249321
blake3,256,14,10645.009339722244
blake3,256,15,10618.70620164459
blake3,256,16,10640.688423445365
blake3,256,17,10636.371013551894
blake3,256,18,10644.577090185569
blake3,256,19,10632.05710577547
blake3,256,20,10631.625907450218
blake3,256,21,10636.371013551894
blake3,256,22,10653.228756045028
blake3,256,23,10640.688423445365
blake3,256,24,10635.939465249321
blake3,256,25,10619.136352588512
