# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-24T11:15:51Z
source,scenario,n_chunks,chunk_size_kb,wall_time_ms,peak_rss_mb,companion_bytes,trial,hostname,disk_type
synthetic,verify_dataset,54608,64.0,628.066,13659.7,0,1,COG,ssd
synthetic,verify_dataset,54608,64.0,627.721,13659.7,0,2,COG,ssd
synthetic,verify_dataset,54608,64.0,629.615,13659.7,0,3,COG,ssd
synthetic,verify_dataset,54608,64.0,627.111,13659.7,0,4,COG,ssd
synthetic,verify_dataset,54608,64.0,625.224,13659.7,0,5,COG,ssd
synthetic,verify_dataset,54608,64.0,627.237,13659.7,0,6,COG,ssd
synthetic,verify_dataset,54608,64.0,627.895,13659.7,0,7,COG,ssd
synthetic,verify_dataset,54608,64.0,626.918,13659.7,0,8,COG,ssd
synthetic,verify_dataset,54608,64.0,626.713,13659.7,0,9,COG,ssd
synthetic,verify_dataset,54608,64.0,626.098,13659.7,0,10,COG,ssd
synthetic,verify_dataset,54608,64.0,625.345,13659.7,0,11,COG,ssd
synthetic,verify_dataset,54608,64.0,628.195,13659.7,0,12,COG,ssd
synthetic,verify_dataset,54608,64.0,626.530,13659.7,0,13,COG,ssd
synthetic,verify_dataset,54608,64.0,629.323,13659.7,0,14,COG,ssd
synthetic,verify_dataset,54608,64.0,630.799,13659.7,0,15,COG,ssd
synthetic,verify_dataset,54608,64.0,627.170,13659.7,0,16,COG,ssd
synthetic,verify_dataset,54608,64.0,627.934,13659.7,0,17,COG,ssd
synthetic,verify_dataset,54608,64.0,631.730,13659.7,0,18,COG,ssd
synthetic,verify_dataset,54608,64.0,631.095,13659.7,0,19,COG,ssd
synthetic,verify_dataset,54608,64.0,631.339,13659.7,0,20,COG,ssd
synthetic,verify_dataset,54608,64.0,630.362,13659.7,0,21,COG,ssd
synthetic,verify_dataset,54608,64.0,629.037,13659.7,0,22,COG,ssd
synthetic,verify_dataset,54608,64.0,629.184,13659.7,0,23,COG,ssd
synthetic,verify_dataset,54608,64.0,627.200,13659.7,0,24,COG,ssd
synthetic,verify_dataset,54608,64.0,627.700,13659.7,0,25,COG,ssd
synthetic,verify_dataset,54608,64.0,630.182,13659.7,0,26,COG,ssd
synthetic,verify_dataset,54608,64.0,627.758,13659.7,0,27,COG,ssd
synthetic,verify_dataset,54608,64.0,627.869,13659.7,0,28,COG,ssd
synthetic,verify_dataset,54608,64.0,628.414,13659.7,0,29,COG,ssd
synthetic,verify_dataset,54608,64.0,629.008,13659.7,0,30,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,1,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,2,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,3,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,4,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,5,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,6,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,7,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,8,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,9,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,10,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,11,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,12,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,13,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,14,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,15,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,16,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,17,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,18,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,19,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,20,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,21,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,22,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,23,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,24,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,25,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,26,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,27,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,28,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,29,COG,ssd
synthetic,verify_chunk,54608,64.0,0.010,13659.7,0,30,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,1,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,2,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,3,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,4,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,5,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,6,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,7,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,8,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,9,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,10,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,11,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,12,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,13,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,14,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,15,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,16,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,17,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,18,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,19,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,20,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,21,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,22,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,23,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,24,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,25,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,26,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,27,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,28,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,29,COG,ssd
synthetic,verify_proof,54608,64.0,0.012,13659.7,0,30,COG,ssd
synthetic,flat_verify,54608,64.0,1277.987,13659.7,0,1,COG,ssd
synthetic,flat_verify,54608,64.0,1277.077,13659.7,0,2,COG,ssd
synthetic,flat_verify,54608,64.0,1278.362,13659.7,0,3,COG,ssd
synthetic,flat_verify,54608,64.0,1277.438,13659.7,0,4,COG,ssd
synthetic,flat_verify,54608,64.0,1277.830,13659.7,0,5,COG,ssd
synthetic,flat_verify,54608,64.0,1283.124,13659.7,0,6,COG,ssd
synthetic,flat_verify,54608,64.0,1279.902,13659.7,0,7,COG,ssd
synthetic,flat_verify,54608,64.0,1284.416,13659.7,0,8,COG,ssd
synthetic,flat_verify,54608,64.0,1286.328,13659.7,0,9,COG,ssd
