# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" date=2026-07-08T10:36:13Z
scheme,platform,n_datasets,sign_ms,verify_ms,sig_size_bytes,pubkey_size_bytes,header_overhead_bytes,trial
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,1
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,2
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,3
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,4
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,5
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,6
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,7
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,8
ed25519,x86_noavx,10000,0.010,0.030,64,32,96,9
ed25519,x86_noavx,10000,0.012,0.022,64,32,96,10
ed25519,x86_noavx,10000,0.010,0.021,64,32,96,11
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,12
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,13
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,14
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,15
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,16
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,17
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,18
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,19
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,20
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,21
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,22
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,23
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,24
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,25
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,26
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,27
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,28
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,29
ed25519,x86_noavx,10000,0.010,0.020,64,32,96,30
hybrid_mldsa65,x86_noavx,10000,0.078,0.104,3374,1984,5358,1
hybrid_mldsa65,x86_noavx,10000,0.078,0.097,3374,1984,5358,2
hybrid_mldsa65,x86_noavx,10000,0.083,0.097,3374,1984,5358,3
hybrid_mldsa65,x86_noavx,10000,0.078,0.098,3374,1984,5358,4
hybrid_mldsa65,x86_noavx,10000,0.078,0.097,3374,1984,5358,5
hybrid_mldsa65,x86_noavx,10000,0.078,0.097,3374,1984,5358,6
hybrid_mldsa65,x86_noavx,10000,0.079,0.099,3374,1984,5358,7
hybrid_mldsa65,x86_noavx,10000,0.078,0.097,3374,1984,5358,8
