# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-26T22:11:52Z
hyperslab_type,k_chunks,trial,proof_time_ms,verify_time_ms
contiguous,64,1,0.01061,0.19195
contiguous,64,2,0.01220,0.19193
contiguous,64,3,0.01072,0.19442
contiguous,64,4,0.01045,0.19196
contiguous,64,5,0.01013,0.19178
contiguous,64,6,0.01018,0.19181
contiguous,64,7,0.01059,0.19685
contiguous,64,8,0.01868,0.38931
contiguous,64,9,0.04670,0.35336
contiguous,64,10,0.01379,0.19219
contiguous,64,11,0.01456,0.19098
contiguous,64,12,0.01084,0.19083
contiguous,64,13,0.01035,0.19080
contiguous,64,14,0.01012,0.19071
contiguous,64,15,0.01003,0.19457
contiguous,64,16,0.01026,0.19082
contiguous,64,17,0.01011,0.19079
contiguous,64,18,0.01008,0.19075
contiguous,64,19,0.01001,0.19078
contiguous,64,20,0.01002,0.19278
contiguous,64,21,0.01005,0.19197
contiguous,64,22,0.01022,0.19080
contiguous,64,23,0.01005,0.19081
contiguous,64,24,0.00997,0.19077
contiguous,64,25,0.01003,0.19403
contiguous,64,26,0.01075,0.19163
contiguous,64,27,0.01021,0.19155
contiguous,64,28,0.01011,0.19155
contiguous,64,29,0.01005,0.19156
contiguous,64,30,0.01020,0.19317
strided,64,1,3.87506,4.12940
strided,64,2,3.88659,3.73991
strided,64,3,3.48181,3.63956
strided,64,4,3.19070,3.14070
strided,64,5,3.02951,3.29572
strided,64,6,3.02100,3.15123
strided,64,7,3.14328,3.32274
strided,64,8,3.07175,3.22105
strided,64,9,3.00491,3.16272
strided,64,10,3.03600,3.28504
strided,64,11,3.28353,3.24254
strided,64,12,3.05584,2.99399
strided,64,13,2.87122,2.99316
strided,64,14,2.94656,2.99251
strided,64,15,2.85761,3.00097
strided,64,16,3.06715,2.98785
strided,64,17,2.93832,2.99893
strided,64,18,2.86240,2.97693
strided,64,19,2.85968,2.97389
strided,64,20,2.86753,3.00666
strided,64,21,3.26308,3.33261
strided,64,22,2.86550,3.00089
strided,64,23,2.86846,3.00329
strided,64,24,3.19526,3.07772
strided,64,25,2.84984,2.99138
strided,64,26,2.88399,2.98976
strided,64,27,2.83839,2.97477
strided,64,28,2.86522,2.98493
strided,64,29,2.86154,3.15460
strided,64,30,2.95902,3.13986
random,64,1,3.11761,2.98565
random,64,2,2.88116,2.99605
random,64,3,3.38808,3.00737
random,64,4,2.88011,3.01855
random,64,5,3.07009,3.00659
random,64,6,2.95547,3.10390
random,64,7,2.88145,3.02208
random,64,8,2.89629,3.00609
random,64,9,2.87803,3.02340
random,64,10,2.89418,3.02583
random,64,11,3.10562,3.02362
random,64,12,2.89236,3.00565
random,64,13,2.86896,3.02689
random,64,14,3.12608,3.01032
random,64,15,3.04547,3.04764
random,64,16,3.11044,3.43649
random,64,17,2.98848,3.00816
random,64,18,2.86200,2.99471
random,64,19,2.88674,3.13328
random,64,20,3.03119,3.09423
random,64,21,2.92559,3.05673
random,64,22,2.92064,3.05879
random,64,23,2.92585,3.05461
random,64,24,2.93538,3.04648
random,64,25,3.01863,3.06874
random,64,26,3.03923,3.06132
random,64,27,2.90638,3.03467
