# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-26T22:11:52Z
hyperslab_type,k_chunks,n_total,proof_size_bytes,proof_time_ms,proof_time_ci95_low,proof_time_ci95_high,verify_time_ms,verify_time_ci95_low,verify_time_ci95_high,theoretical_bound_bytes
contiguous,64,65536,8080,0.01020,0.01011,0.01052,0.19171,0.19090,0.19197,43620
strided,64,65536,33280,2.98196,2.86984,3.06150,3.04219,2.99646,3.15866,43620
random,64,65536,30600,2.92572,2.89567,3.02491,3.02577,3.01443,3.05112,43620
contiguous,256,65536,31040,0.03506,0.03480,0.03532,0.59037,0.58981,0.59088,174180
strided,256,65536,112640,11.61563,11.47513,11.71696,11.98810,11.86706,12.14668,174180
random,256,65536,104040,11.65211,11.51091,11.90201,12.13956,11.94286,12.33000,174180
contiguous,1024,65536,123120,0.20211,0.20080,0.20322,2.35766,2.35497,2.35958,696420
strided,1024,65536,368640,43.65335,43.49964,44.04760,45.57711,45.37223,45.81597,696420
random,1024,65536,336200,43.66814,43.60408,43.78245,45.57563,45.34549,45.70905,696420
contiguous,4096,65536,491680,0.88693,0.88453,0.89185,9.44986,9.44715,9.45314,2785380
strided,4096,65536,1146880,166.42200,166.03523,167.22208,174.56201,173.88323,175.35680,2785380
random,4096,65536,1027760,167.02355,166.47070,167.97245,175.23369,174.71821,175.71607,2785380
